subject,session,class_name,cue_side,rt_group,n_trials,n_unusable,unusable_rate,mean_error,mean_RT
s06,2,toward,right,validRT,61,2,0.0327868852459016,12.1475409836066,671.901639344262
s06,2,toward,right,trimmedRT,1,0,0,75,1570
s06,2,toward,other,validRT,0,0,NaN,NaN,NaN
s06,2,toward,other,trimmedRT,0,0,NaN,NaN,NaN
s06,2,noMS,left,validRT,53,6,0.113207547169811,11.6603773584906,628.094339622642
s06,2,noMS,left,trimmedRT,0,0,NaN,NaN,NaN
s06,2,noMS,right,validRT,67,2,0.0298507462686567,9.34328358208955,580.014925373134
s06,2,noMS,right,trimmedRT,0,0,NaN,NaN,NaN
s06,2,noMS,other,validRT,0,0,NaN,NaN,NaN
s06,2,noMS,other,trimmedRT,0,0,NaN,NaN,NaN
s06,2,away,left,validRT,46,5,0.108695652173913,14.8260869565217,722.282608695652
s06,2,away,left,trimmedRT,0,0,NaN,NaN,NaN
s06,2,away,right,validRT,74,6,0.0810810810810811,16.7837837837838,694.567567567568
s06,2,away,right,trimmedRT,1,0,0,59,1571
s06,2,away,other,validRT,0,0,NaN,NaN,NaN
s06,2,away,other,trimmedRT,0,0,NaN,NaN,NaN
s06,2,tooSmall,left,validRT,90,8,0.0888888888888889,15.1888888888889,641.577777777778
s06,2,tooSmall,left,trimmedRT,0,0,NaN,NaN,NaN
s06,2,tooSmall,right,validRT,96,9,0.09375,15.5729166666667,677.239583333333
s06,2,tooSmall,right,trimmedRT,0,0,NaN,NaN,NaN
s06,2,tooSmall,other,validRT,0,0,NaN,NaN,NaN
s06,2,tooSmall,other,trimmedRT,0,0,NaN,NaN,NaN
s06,2,unclassified,left,validRT,0,0,NaN,NaN,NaN
s06,2,unclassified,left,trimmedRT,0,0,NaN,NaN,NaN
s06,2,unclassified,right,validRT,0,0,NaN,NaN,NaN
s06,2,unclassified,right,trimmedRT,0,0,NaN,NaN,NaN
s06,2,unclassified,other,validRT,0,0,NaN,NaN,NaN
s06,2,unclassified,other,trimmedRT,0,0,NaN,NaN,NaN
s08,1,toward,left,validRT,75,1,0.0133333333333333,13.64,838.453333333333
s08,1,toward,left,trimmedRT,5,1,0.2,35.2,3108.8
s08,1,toward,right,validRT,78,1,0.0128205128205128,10.3717948717949,771.179487179487
s08,1,toward,right,trimmedRT,9,1,0.111111111111111,23.6666666666667,2107.77777777778
s08,1,toward,other,validRT,0,0,NaN,NaN,NaN
s08,1,toward,other,trimmedRT,0,0,NaN,NaN,NaN
s08,1,noMS,left,validRT,89,1,0.0112359550561798,13.8314606741573,666.247191011236
s08,1,noMS,left,trimmedRT,9,1,0.111111111111111,23.8888888888889,2616.33333333333
s08,1,noMS,right,validRT,91,1,0.010989010989011,11.8351648351648,752.461538461538
s08,1,noMS,right,trimmedRT,11,1,0.0909090909090909,15.8181818181818,2442.81818181818
s08,1,noMS,other,validRT,0,0,NaN,NaN,NaN
s08,1,noMS,other,trimmedRT,0,0,NaN,NaN,NaN
s08,1,away,left,validRT,40,1,0.025,9.025,728.3
s08,1,away,left,trimmedRT,2,0,0,15.5,1872
s08,1,away,right,validRT,30,0,0,12.8,824.9
s08,1,away,right,trimmedRT,3,1,0.333333333333333,32,2195.33333333333
s08,1,away,other,validRT,0,0,NaN,NaN,NaN
s08,1,away,other,trimmedRT,0,0,NaN,NaN,NaN
s08,1,tooSmall,left,validRT,78,1,0.0128205128205128,13.9615384615385,686.512820512821
s08,1,tooSmall,left,trimmedRT,2,0,0,18,2561
s08,1,tooSmall,right,validRT,74,3,0.0405405405405405,13.7972972972973,795.256756756757
s08,1,tooSmall,right,trimmedRT,4,0,0,28.75,3138.75
s08,1,tooSmall,other,validRT,0,0,NaN,NaN,NaN
s08,1,tooSmall,other,trimmedRT,0,0,NaN,NaN,NaN
s08,1,unclassified,left,validRT,0,0,NaN,NaN,NaN
s08,1,unclassified,left,trimmedRT,0,0,NaN,NaN,NaN
s08,1,unclassified,right,validRT,0,0,NaN,NaN,NaN
s08,1,unclassified,right,trimmedRT,0,0,NaN,NaN,NaN
s08,1,unclassified,other,validRT,0,0,NaN,NaN,NaN
s08,1,unclassified,other,trimmedRT,0,0,NaN,NaN,NaN
s08,2,toward,left,validRT,80,1,0.0125,10.5125,628.7
s08,2,toward,left,trimmedRT,2,0,0,45,2804.5
s08,2,toward,right,validRT,75,6,0.08,10.04,673.44
s08,2,toward,right,trimmedRT,2,0,0,46.5,2195.5
s08,2,toward,other,validRT,0,0,NaN,NaN,NaN
s08,2,toward,other,trimmedRT,0,0,NaN,NaN,NaN
s08,2,noMS,left,validRT,106,3,0.0283018867924528,7.70754716981132,570.094339622642
s08,2,noMS,left,trimmedRT,1,0,0,6,2840
s08,2,noMS,right,validRT,95,4,0.0421052631578947,11.2947368421053,630.452631578947
s08,2,noMS,right,trimmedRT,1,0,0,13,2604
s08,2,noMS,other,validRT,0,0,NaN,NaN,NaN
s08,2,noMS,other,trimmedRT,0,0,NaN,NaN,NaN
s08,2,away,left,validRT,30,2,0.0666666666666667,15.5333333333333,677.133333333333
s08,2,away,left,trimmedRT,3,0,0,49.6666666666667,2556
s08,2,away,right,validRT,43,0,0,12.906976744186,679.93023255814
s08,2,away,right,trimmedRT,0,0,NaN,NaN,NaN
s08,2,away,other,validRT,0,0,NaN,NaN,NaN
s08,2,away,other,trimmedRT,0,0,NaN,NaN,NaN
s08,2,tooSmall,left,validRT,75,2,0.0266666666666667,10.4133333333333,580.346666666667
s08,2,tooSmall,left,trimmedRT,3,0,0,66.3333333333333,2958.66666666667
s08,2,tooSmall,right,validRT,82,2,0.024390243902439,8.65853658536585,600.463414634146
s08,2,tooSmall,right,trimmedRT,2,0,0,22.5,2211.5
s08,2,tooSmall,other,validRT,0,0,NaN,NaN,NaN
s08,2,tooSmall,other,trimmedRT,0,0,NaN,NaN,NaN
s08,2,unclassified,left,validRT,0,0,NaN,NaN,NaN
s08,2,unclassified,left,trimmedRT,0,0,NaN,NaN,NaN
s08,2,unclassified,right,validRT,0,0,NaN,NaN,NaN
s08,2,unclassified,right,trimmedRT,0,0,NaN,NaN,NaN
s08,2,unclassified,other,validRT,0,0,NaN,NaN,NaN
s08,2,unclassified,other,trimmedRT,0,0,NaN,NaN,NaN
s09,1,toward,left,validRT,110,13,0.118181818181818,10.4909090909091,705.172727272727
s09,1,toward,left,trimmedRT,0,0,NaN,NaN,NaN
s09,1,toward,right,validRT,94,21,0.223404255319149,8.06382978723404,793.031914893617
s09,1,toward,right,trimmedRT,0,0,NaN,NaN,NaN
s09,1,toward,other,validRT,0,0,NaN,NaN,NaN
s09,1,toward,other,trimmedRT,0,0,NaN,NaN,NaN
